merchant,description,category
Restaurant,snack purchase,Food
Cafe Coffee Day,restaurant lunch,Food
McDonalds,snack purchase,Food
McDonalds,burger meal,Food
Cafe Coffee Day,dinner with friends,Food
Restaurant,restaurant bill,Food
Dominos,coffee purchase,Food
Zomato,takeaway order,Food
Cafe Coffee Day,burger meal,Food
KFC,restaurant lunch,Food
Zomato,pizza dinner,Food
Subway,burger meal,Food
McDonalds,coffee purchase,Food
Cafe Coffee Day,dinner with friends,Food
Zomato,late night food,Food
Subway,pizza dinner,Food
KFC,late night food,Food
Cafe Coffee Day,snack purchase,Food
Pizza Hut,takeaway order,Food
McDonalds,snack purchase,Food
Starbucks,coffee purchase,Food
Restaurant,restaurant bill,Food
Pizza Hut,restaurant bill,Food
Starbucks,pizza dinner,Food
Dominos,dinner with friends,Food
KFC,food delivery order,Food
Pizza Hut,late night food,Food
Pizza Hut,restaurant lunch,Food
KFC,restaurant lunch,Food
Pizza Hut,snack purchase,Food
Subway,pizza dinner,Food
KFC,snack purchase,Food
KFC,late night food,Food
Dominos,dinner with friends,Food
Zomato,late night food,Food
McDonalds,coffee purchase,Food
Subway,pizza dinner,Food
McDonalds,restaurant lunch,Food
Subway,snack purchase,Food
Starbucks,snack purchase,Food
Dominos,coffee purchase,Food
Pizza Hut,food delivery order,Food
Dominos,pizza dinner,Food
Restaurant,takeaway order,Food
Starbucks,dinner with friends,Food
Pizza Hut,restaurant bill,Food
KFC,restaurant lunch,Food
Restaurant,snack purchase,Food
Subway,dinner with friends,Food
Restaurant,food delivery order,Food
Starbucks,pizza dinner,Food
Swiggy,takeaway order,Food
Restaurant,food delivery order,Food
Zomato,burger meal,Food
Zomato,snack purchase,Food
McDonalds,restaurant bill,Food
Restaurant,restaurant bill,Food
Dominos,restaurant lunch,Food
Subway,snack purchase,Food
Cafe Coffee Day,takeaway order,Food
Swiggy,snack purchase,Food
Swiggy,coffee purchase,Food
Auto Stand,cab ride home,Transport
Taxi Service,metro ticket,Transport
Bike Taxi,metro ticket,Transport
Rapido,auto ride,Transport
Bus Service,train commute,Transport
Petrol Pump,ride to airport,Transport
Petrol Pump,ride to office,Transport
Uber,bus ticket,Transport
Rapido,bike taxi ride,Transport
Ola,cab ride home,Transport
Uber,bike taxi ride,Transport
Uber,diesel refill,Transport
Auto Stand,cab ride home,Transport
Taxi Service,metro ticket,Transport
Uber,auto ride,Transport
Taxi Service,metro ticket,Transport
Taxi Service,ride to airport,Transport
Indian Railways,ride to airport,Transport
Metro,ride to office,Transport
Bike Taxi,bus ticket,Transport
Petrol Pump,bike taxi ride,Transport
Bus Service,auto ride,Transport
Indian Railways,train commute,Transport
Bus Service,bus ticket,Transport
Bus Service,train commute,Transport
Ola,petrol refill,Transport
Taxi Service,cab ride home,Transport
Rapido,ride to airport,Transport
Metro,bike taxi ride,Transport
Indian Railways,petrol refill,Transport
Taxi Service,metro ticket,Transport
Rapido,bike taxi ride,Transport
Petrol Pump,ride to airport,Transport
Uber,petrol refill,Transport
Petrol Pump,auto ride,Transport
Ola,cab ride home,Transport
Petrol Pump,ride to office,Transport
Bus Service,bus ticket,Transport
Bike Taxi,bike taxi ride,Transport
Uber,diesel refill,Transport
Metro,metro ticket,Transport
Taxi Service,train commute,Transport
Rapido,metro ticket,Transport
Petrol Pump,diesel refill,Transport
Bus Service,ride to airport,Transport
Bus Service,ride to airport,Transport
